"sample"	"PC1: 18% variance"	"PC2: 15% variance"
"HDLI_ADF_H_3"	81.769478969236	26.9468439098576
"HDAL_PMA_H_1"	81.8386883270515	39.9654228389326
"LDAL_PM_H_3"	82.0697790190474	41.6011776149565
"HDLI_ADF_H_18"	82.1361835672001	27.0942535589948
"HDLI_ADM_H_18"	82.817025255183	27.4651624433878
"HDLI_PM_H_1"	83.1358930257869	40.441348318734
"LDAL_ADMB_H_3"	83.3035295899362	30.2714213870853
"HDAL_ADF_H_1"	83.8274476919737	26.2505030451937
"HDLI_PM_H_3"	84.5543960126595	40.7751652499714
"LDAL_PM_H_1"	84.7056587189354	39.7230734234325
"LDAL_PM_H_18"	85.4104268252417	41.174938091247
"HDAL_PM_H_18"	85.9538206842865	41.8426170829551
"LDAL_III_H_3"	86.2160536916464	-107.848072607862
"LDAL_ADF_H_4"	86.3795624178854	29.1529651245395
"HDLI_PF_H_4"	86.7358527392117	42.0854257074391
"HDAL_ADF_H_18"	89.0933362134377	32.4079487820851
"HDAL_ADM_H_1"	89.6751053223924	29.7209635014589
"HDAL_PF_H_3"	89.7387657474444	38.5640820749679
"HDAL_ADF_H_3"	90.2428727674691	29.7161588414626
"LDAL_PM_H_4"	90.8287224860518	42.905040326574
"LDAL_ADM_H_18"	90.8959715383452	27.715615160001
"HDAL_PF_H_1"	91.9434624307985	43.0536995506999
"HDAL_PMB_H_1"	99.6332177668731	40.1574883339705
"HDLI_III_H_3"	261.183781522575	-689.344028354535
